,en,nl,it,de,es,pl,cs,fr,el,ro,pt
,This website was funded by the European Commission's Horizon 2020 Programme under grant agreement nº 638653,Deze website is ontwikkeld met financiering uit het Horizon 2020-programma van de Europese Commissie in het kader van subsidieovereenkomst 638653,"Questo sito web è stato sviluppato grazie al finanziamento del Programma Horizon 2020 della Commissione europea, Grant Agreement n. 638653",Diese Website wurde mit finanzieller Unterstützung durch das Horizon 2020-Programm der Europäischen Kommission unter Finanzhilfevereinbarung 638653 entwickelt.,Esta página web se diseñó gracias a la financiación del programa Horizonte 2020 de la Comisión Europea con el acuerdo de subvención 638653.,Portal powstał przy wsparciu finansowym programu Horyzont 2020 Komisji Europejskiej na podstawie umowy grantowej nr 638653,"Tvorba webových stránek byla financována z programu Evropské komise Horizont 2020, grantová smlouva č. 638653",Ce site a été réalisé avec un financement de la Commission européenne dans le cadre de son programme Horizon 2020 aux termes d’un accord de subvention n° 638653,"Ο παρών ιστότοπος αναπτύχθηκε με χρηματοδότηση από το πρόγραμμα της Ευρωπαϊκής Επιτροπής ""Horizon 2020"" στο πλαίσιο της συμφωνίας επιχορήγησης 638653","Acest site a fost conceput cu finanţare de la Comisia Europeană, în cadrul programului Orizont 2020, conform acordului de subvenţionare nr. 638653.",Este sítio web foi desenvolvido com financiamento do Programa Horizon 2020 da Comissão Europeia ao abrigo do Acordo de Subvenção n.º 638653
,Load more,Meer laden,Carica altro,Mehr laden,Más información,Pokaż więcej,Načíst více,En télécharger d’autres,Φορτώστε περισσότερα,Încarcă mai multe,Ver mais
,Loading,,,,,,,,,,
,Related resources,Gerelateerde middelen,Risorse correlate,Zugehörige Ressourcen,Recursos relacionados,Pokrewne zasoby,Související zdroje,Ressources apparentées,Συναφείς πόροι,Resurse conexe,Recursos relacionados
,find by category,ZOEKEN OP CATEGORIE,TROVA PER CATEGORIA,NACH KATEGORIE SUCHEN,BUSCAR POR CATEGORÍA,SZUKAJ WG KATEGORII,VYHLEDÁVÁNÍ PODLE KATEGORIÍ,TROUVER PAR CATÉGORIE,ΕΥΡΕΣΗ ΑΝΑ ΚΑΤΗΓΟΡΙΑ,CĂUTARE DUPĂ CATEGORIE,LOCALIZAR POR CATEGORIA
,all,Alle,Tutte,Alle,Todos,Wszystkie,Všechny,Tous,Όλα,Toate,Todas
,see more,,,,,,,,,,
,Inspiring a new generation of space explorers,Een nieuwe generatie ruimteverkenners inspireren,Ispirare una nuova generazione di esploratori dello spazio,Inspiration für eine neue Generation von Weltraumforschern,Queremos plantar la semilla de los exploradores espaciales del futuro,Inspirując nowe pokolenie badaczy kosmosu,Inspirace pro nové průzkumníky vesmíru,Inspirer une nouvelle génération d’explorateurs de l’espace,Εμπνέοντας την επόμενη γενιά εξερευνητών του διαστήματος,Aripi pentru o nouă generaţie de exploratori ai spaţiului,Inspirar uma nova geração de exploradores do espaço
,Subscribe to our newsletter,Schrijf je in voor onze nieuwsbrief,Iscriviti alla nostra newsletter,"Abonnieren Sie unseren Newsletter,",¿Quieres recibir nuestro boletín de noticias?,Zaprenumeruj nasz biuletyn,Přihlaste se k odběru našeho zpravodaje,S’abonner à notre bulletin d’information,Γίνετε συνδρομητής στο ενημερωτικό μας δελτίο,Abonează-te la buletinul nostru informativ,Subscreva a nossa newsletter
,and stay updated about new resources and events,en blijf op de hoogte van nieuwe middelen en evenementen,per restare aggiornato sulle nuove risorse ed eventi,um über neue Ressourcen und Veranstaltungen auf dem Laufenden zu bleiben.,Así conocerás las novedades sobre recursos y actividades.,i bądź zawsze w posiadaniu aktualnych informacji o nowych zasobach i wydarzeniach,a nenechte si ujít aktuální informace o nových zdrojích a akcích.,et se tenir au courant des nouveautés (ressources et événements) ,και ενημερωθείτε για τους τελευταίους πόρους και εξελίξεις,şi fii la curent cu noile evenimente şi resurse,e mantenha-se a par de novos recursos e eventos
,This section is coming soon!,Dit onderdeel is binnenkort beschikbaar! ,Questa sezione arriverà presto! ,Dieser Bereich wird demnächst veröffentlicht! ,Esta sección estará lista muy pronto. ,Rozdział zostanie wkrótce udostępniony! ,Tuto sekci zveřejníme již brzy! ,Cette section sera disponible prochainement.  ,Η ενότητα θα είναι σύντομα κοντά σας! ,Această secţiune va fi disponibilă în curând! ,Esta secção estará disponível em breve! 
,Be among the first to be notified by subscribing to the Space Awareness newsletter on the home page,Word als een van de eersten op de hoogte gesteld van de update door je op de homepage in te schrijven voor de nieuwsbrief van Space Awareness! ,"Sii fra i primi a essere informato sull’aggiornamento, iscrivendoti alla newsletter di Space Awareness in Homepage! ","Abonnieren Sie den Space Awareness-Newsletter auf der Homepage, um unter den Ersten zu sein, die über das Update informiert werden! ","Si quieres ser el primero en enterarte, suscríbete al boletín de noticias Space Awareness en la página de inicio. ","Zapewnij sobie najszybsze powiadamianie o aktualizacjach, prenumerując biuletyn informacyjny Space Awareness na stronie głównej! ","Buďte mezi prvními, kdo se o aktualizaci dozví. Na hlavní stránce se přihlaste k odběru zpravodaje programu „Povědomí o vesmíru“. ",Soyez parmi les premiers à être avertis de la mise à jour en vous inscrivant à la lettre d’information de Space Awareness sur la page d’accueil ! ,"Εγγραφείτε στο ενημερωτικό δελτίο του ""Space Awareness"" στην αρχική σελίδα, ώστε να είσαστε από τους πρώτους που θα ειδοποιηθείτε για την καινούργια ενότητα! ","Abonează-te la buletinul informativ Space Awareness, de pe prima pagină, şi vei fi printre primii care va fi înştiinţat cu privire la actualizare! ","Seja dos primeiros a serem notificados sobre a atualização, subscrevendo a newsletter do Space Awareness na página inicial! "
,Related content,Gerelateerde content,Contenuti correlati,Verwandte Inhalte,Información relacionada,Pokrewne treści,Související,Contenus sur les mêmes sujets,Συναφές περιεχόμενο,Conţinut conex,Conteúdo relacionado
,STARTING DATE,,,,,,,,,,
,Introduction,,,,,,,,,,
,What you will learn,,,,,,,,,,
,What skills will you need,,,,,,,,,,
,Duration of the course,,,,,,,,,,
